question,answer
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पोलिश-सोवियत युद्ध, मान्ज़िकर्ट का युद्ध, अफगानिस्तान में युद्ध (2001–2021), फ़ॉकलैंड युद्ध, वियना का युद्ध","मान्ज़िकर्ट का युद्ध, वियना का युद्ध, पोलिश-सोवियत युद्ध, फ़ॉकलैंड युद्ध, अफगानिस्तान में युद्ध (2001–2021)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण","पेलोपोनेसियन युद्ध, प्लाटिया का युद्ध, रूस पर फ्रांसीसी आक्रमण, ऑस्ट्रो-प्रशियाई युद्ध, दूसरा नागोर्नो-काराबाख युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इराक युद्ध, सोवियत-अफगान युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, अंकारा का युद्ध","अंकारा का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, सोवियत-अफगान युद्ध, इराक युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: निकोपोलिस का युद्ध, टुटोबर्ग वन का युद्ध, दूसरा बोअर युद्ध, मोहाक का युद्ध, बद्र का युद्ध","टुटोबर्ग वन का युद्ध, बद्र का युद्ध, निकोपोलिस का युद्ध, मोहाक का युद्ध, दूसरा बोअर युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुलिकोवो का युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध","क्रेसी का युद्ध, कुलिकोवो का युद्ध, प्रथम अफीम युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), दूसरा बाल्कन युद्ध, यूक्रेन पर रूसी आक्रमण, ईरान-इराक युद्ध, सौ साल का युद्ध","सौ साल का युद्ध, दूसरा बाल्कन युद्ध, ईरान-इराक युद्ध, यूक्रेन पर रूसी आक्रमण, गाजा युद्ध (2023–)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, ज़ामा का युद्ध, लिटिल बिघोर्न का युद्ध, प्रथम अफीम युद्ध","ज़ामा का युद्ध, प्रथम अफीम युद्ध, लिटिल बिघोर्न का युद्ध, सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: हेस्टिंग्स का युद्ध, खाई का युद्ध, प्रथम इंडोचीन युद्ध, मॉस्को का युद्ध, ईरान-इराक युद्ध","खाई का युद्ध, हेस्टिंग्स का युद्ध, मॉस्को का युद्ध, प्रथम इंडोचीन युद्ध, ईरान-इराक युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), पोलिश-सोवियत युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, प्रशांत का युद्ध","प्रशांत का युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, पोलिश-सोवियत युद्ध, गाजा युद्ध (2023–)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध","मैराथन का युद्ध, दूसरा पुनिक युद्ध, कारहे का युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, ब्लैक जनवरी"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैराथन का युद्ध","मैराथन का युद्ध, बद्र का युद्ध, सौ साल का युद्ध, ऑस्टरलिट्ज़ का युद्ध, प्रथम चीन-जापानी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गुलाब के युद्ध, क्रीमियाई युद्ध, जेना-ऑरस्टेड का युद्ध, रूस-यूक्रेनी युद्ध, कारहे का युद्ध","कारहे का युद्ध, गुलाब के युद्ध, जेना-ऑरस्टेड का युद्ध, क्रीमियाई युद्ध, रूस-यूक्रेनी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: वर्ना का युद्ध, कुलिकोवो का युद्ध, 1948 फिलिस्तीन युद्ध, ईरान-इजरायल युद्ध, रूस-यूक्रेनी युद्ध","कुलिकोवो का युद्ध, वर्ना का युद्ध, 1948 फिलिस्तीन युद्ध, रूस-यूक्रेनी युद्ध, ईरान-इजरायल युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, मॉस्को का युद्ध, प्रशांत का युद्ध, क्रेसी का युद्ध, कुर्स्क का युद्ध","मैराथन का युद्ध, क्रेसी का युद्ध, प्रशांत का युद्ध, मॉस्को का युद्ध, कुर्स्क का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पूर्वी मोर्चा, रूस-यूक्रेनी युद्ध, लिटिल बिघोर्न का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, वाटरलू का युद्ध","वाटरलू का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, लिटिल बिघोर्न का युद्ध, पूर्वी मोर्चा, रूस-यूक्रेनी युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, प्रथम अफीम युद्ध, गौगामेला का युद्ध, थर्मोपाइले का युद्ध, प्रथम चेचन युद्ध","मैराथन का युद्ध, थर्मोपाइले का युद्ध, गौगामेला का युद्ध, प्रथम अफीम युद्ध, प्रथम चेचन युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सौ साल का युद्ध, पोल्टावा का युद्ध, पर्ल हार्बर पर हमला, रूस पर फ्रांसीसी आक्रमण, कुलिकोवो का युद्ध","कुलिकोवो का युद्ध, सौ साल का युद्ध, पोल्टावा का युद्ध, रूस पर फ्रांसीसी आक्रमण, पर्ल हार्बर पर हमला"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इस्सस का युद्ध, एड्रियानोपल का युद्ध, बोरोडिनो का युद्ध, इवो जीमा का युद्ध, दूसरा बोअर युद्ध","इस्सस का युद्ध, एड्रियानोपल का युद्ध, बोरोडिनो का युद्ध, दूसरा बोअर युद्ध, इवो जीमा का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोरियाई युद्ध, योम किप्पुर युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, छह-दिवसीय युद्ध, वाटरलू का युद्ध","ऑस्ट्रियाई उत्तराधिकार का युद्ध, वाटरलू का युद्ध, कोरियाई युद्ध, छह-दिवसीय युद्ध, योम किप्पुर युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुर्स्क का युद्ध, 1857 का भारतीय विद्रोह, कोसोवो का युद्ध, ऑस्टरलिट्ज़ का युद्ध, इवो जीमा का युद्ध","कोसोवो का युद्ध, ऑस्टरलिट्ज़ का युद्ध, 1857 का भारतीय विद्रोह, कुर्स्क का युद्ध, इवो जीमा का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कोरियाई युद्ध, कर्बला का युद्ध, सौ साल का युद्ध, हेस्टिंग्स का युद्ध, 2006 लेबनान युद्ध","कर्बला का युद्ध, हेस्टिंग्स का युद्ध, सौ साल का युद्ध, कोरियाई युद्ध, 2006 लेबनान युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा पुनिक युद्ध, दूसरा बोअर युद्ध, कालका नदी का युद्ध, पोलिश-सोवियत युद्ध, इस्सस का युद्ध","इस्सस का युद्ध, दूसरा पुनिक युद्ध, कालका नदी का युद्ध, दूसरा बोअर युद्ध, पोलिश-सोवियत युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: स्पेनिश-अमेरिकी युद्ध, पूर्वी मोर्चा, वाटरलू का युद्ध, 2006 लेबनान युद्ध, शीतकालीन युद्ध","वाटरलू का युद्ध, स्पेनिश-अमेरिकी युद्ध, शीतकालीन युद्ध, पूर्वी मोर्चा, 2006 लेबनान युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सात वर्षीय युद्ध, प्लासी का युद्ध, 1948 फिलिस्तीन युद्ध, क्रेसी का युद्ध, इराक युद्ध","क्रेसी का युद्ध, सात वर्षीय युद्ध, प्लासी का युद्ध, 1948 फिलिस्तीन युद्ध, इराक युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: ग्रुनवाल्ड का युद्ध, इस्सस का युद्ध, प्रथम नागोर्नो-काराबाख युद्ध, इवो जीमा का युद्ध, एगिनकोर्ट का युद्ध","इस्सस का युद्ध, ग्रुनवाल्ड का युद्ध, एगिनकोर्ट का युद्ध, इवो जीमा का युद्ध, प्रथम नागोर्नो-काराबाख युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: ओकिनावा का युद्ध, ईरान-इराक युद्ध, गौगामेला का युद्ध, रूस-जापानी युद्ध, कुर्स्क का युद्ध","गौगामेला का युद्ध, रूस-जापानी युद्ध, कुर्स्क का युद्ध, ओकिनावा का युद्ध, ईरान-इराक युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: अफगानिस्तान में युद्ध (2001–2021), कान्ने का युद्ध, थर्मोपाइले का युद्ध, प्लासी का युद्ध, खाड़ी युद्ध","थर्मोपाइले का युद्ध, कान्ने का युद्ध, प्लासी का युद्ध, खाड़ी युद्ध, अफगानिस्तान में युद्ध (2001–2021)"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: ग्रुनवाल्ड का युद्ध, कोरियाई युद्ध, पेलोपोनेसियन युद्ध, थर्मोपाइले का युद्ध, बोरोडिनो का युद्ध","पेलोपोनेसियन युद्ध, थर्मोपाइले का युद्ध, ग्रुनवाल्ड का युद्ध, बोरोडिनो का युद्ध, कोरियाई युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: लिटिल बिघोर्न का युद्ध, बद्र का युद्ध, कादेश का युद्ध, कर्बला का युद्ध, वाटरलू का युद्ध","कादेश का युद्ध, बद्र का युद्ध, कर्बला का युद्ध, वाटरलू का युद्ध, लिटिल बिघोर्न का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: रूस-जॉर्जियाई युद्ध, कादेश का युद्ध, कैटालोनियन मैदानों का युद्ध, टूर्स का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध","कादेश का युद्ध, कैटालोनियन मैदानों का युद्ध, टूर्स का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस-जॉर्जियाई युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: छह-दिवसीय युद्ध, लिटिल बिघोर्न का युद्ध, प्रथम इंडोचीन युद्ध, इवो जीमा का युद्ध, ग्रुनवाल्ड का युद्ध","ग्रुनवाल्ड का युद्ध, लिटिल बिघोर्न का युद्ध, इवो जीमा का युद्ध, प्रथम इंडोचीन युद्ध, छह-दिवसीय युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुर्स्क का युद्ध, कादेश का युद्ध, पोल्टावा का युद्ध, थर्मोपाइले का युद्ध, छह-दिवसीय युद्ध","कादेश का युद्ध, थर्मोपाइले का युद्ध, पोल्टावा का युद्ध, कुर्स्क का युद्ध, छह-दिवसीय युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मान्ज़िकर्ट का युद्ध, बोरोडिनो का युद्ध, थर्मोपाइले का युद्ध, उहुद का युद्ध, निकोपोलिस का युद्ध","थर्मोपाइले का युद्ध, उहुद का युद्ध, मान्ज़िकर्ट का युद्ध, निकोपोलिस का युद्ध, बोरोडिनो का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: हेस्टिंग्स का युद्ध, फ़ॉकलैंड युद्ध, प्रथम नागोर्नो-काराबाख युद्ध, ऐन जलुत का युद्ध, क्रीमियाई युद्ध","हेस्टिंग्स का युद्ध, ऐन जलुत का युद्ध, क्रीमियाई युद्ध, फ़ॉकलैंड युद्ध, प्रथम नागोर्नो-काराबाख युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पर्ल हार्बर पर हमला, कुर्स्क का युद्ध, इस्सस का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध","पेलोपोनेसियन युद्ध, इस्सस का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, कुर्स्क का युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: ऑस्ट्रियाई उत्तराधिकार का युद्ध, जेना-ऑरस्टेड का युद्ध, स्वेज संकट, ज़ामा का युद्ध, पर्ल हार्बर पर हमला","ज़ामा का युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, जेना-ऑरस्टेड का युद्ध, पर्ल हार्बर पर हमला, स्वेज संकट"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चेचन युद्ध, एड्रियानोपल का युद्ध, बद्र का युद्ध, यूक्रेन पर रूसी आक्रमण, रूस-जॉर्जियाई युद्ध","एड्रियानोपल का युद्ध, बद्र का युद्ध, प्रथम चेचन युद्ध, रूस-जॉर्जियाई युद्ध, यूक्रेन पर रूसी आक्रमण"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कारहे का युद्ध, प्रथम चीन-जापानी युद्ध, ब्लैक जनवरी, 1812 का युद्ध, प्लासी का युद्ध","कारहे का युद्ध, प्लासी का युद्ध, 1812 का युद्ध, प्रथम चीन-जापानी युद्ध, ब्लैक जनवरी"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पूर्वी मोर्चा, कोरियाई युद्ध, कर्बला का युद्ध, क्रेसी का युद्ध, स्टैमफोर्ड ब्रिज का युद्ध","कर्बला का युद्ध, स्टैमफोर्ड ब्रिज का युद्ध, क्रेसी का युद्ध, पूर्वी मोर्चा, कोरियाई युद्ध"
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण, प्रथम इंडोचीन युद्ध, दूसरा पुनिक युद्ध","दूसरा पुनिक युद्ध, रूस पर फ्रांसीसी आक्रमण, ऑस्ट्रो-प्रशियाई युद्ध, प्रथम इंडोचीन युद्ध, सोवियत-अफगान युद्ध"
