question,true_answer,bloom_answer,rag_answer_bloom,hallucination_before_bloom,hallucination_after_bloom
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पोलिश-सोवियत युद्ध, मान्ज़िकर्ट का युद्ध, अफगानिस्तान में युद्ध (2001–2021), फ़ॉकलैंड युद्ध, वियना का युद्ध","मान्ज़िकर्ट का युद्ध, वियना का युद्ध, पोलिश-सोवियत युद्ध, फ़ॉकलैंड युद्ध, अफगानिस्तान में युद्ध (2001–2021)","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: अमरीका-सोवियत युद्ध, अमरीका और रूस की युद्ध, रूस का युद्ध, यूक्रेन की युद्ध, रूस और अमरीका की युद्ध","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: पोलिश-सोवियत युद्ध, मान्ज़िकर्ट का युद्ध, अफगानिस्तान में युद्ध (2001–2021), फ़ॉकलैंड युद्ध, वियना का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    A: Yes. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No. A: No.",True,0
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण","पेलोपोनेसियन युद्ध, प्लाटिया का युद्ध, रूस पर फ्रांसीसी आक्रमण, ऑस्ट्रो-प्रशियाई युद्ध, दूसरा नागोर्नो-काराबाख युद्ध","1. पहला नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: दूसरा नागोर्नो-काराबाख युद्ध, प्लाटिया का युद्ध, पेलोपोनेसियन युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, रूस पर फ्रांसीसी आक्रमण
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    उत्तर:
    
    
    पहला नागोर्नो-काराबाख युद्ध: 1. जो 2, 3 और 4 को मारकर एक साथ मार दिया है। 2. जो 5, 6 और 7 को मारकर एक साथ मार दिया है। 3. जो 8, 9 और 10 को मारकर एक साथ मार दिया है। 4. जो 11, 12 और 13 को मारकर एक साथ मार दिया है। 5. जो 14, 15 और 16 को मारकर एक साथ मार दिया है।",True,0
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इराक युद्ध, सोवियत-अफगान युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, अंकारा का युद्ध","अंकारा का युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, सोवियत-अफगान युद्ध, इराक युद्ध",भारत ने अफगानिस्तान पर हमला किया था और अफगानिस्तान ने भारत को पीछे धकेल दिया था। अफगानिस्तान ने भारत पर हमला करके भारत को पीछे धकेल दिया था। अफगानिस्तान ने भारत पर हमला करके भारत को,"
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: इराक युद्ध, सोवियत-अफगान युद्ध, ऑस्ट्रो-प्रशियाई युद्ध, पर्ल हार्बर पर हमला, अंकारा का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    context :
    
    
    Question :
    
    
    An example of a context is :
    
    
    Iraq War: The Iraqi army has been engaged in the war since the Persian Gulf War 2004, when the country suffered a major reversal due to the war. Iraq can be said to have been in crisis for the past 15 years. The invasion of Kuwait in 2007 was the first major crisis in Iraqi history. Iraq’s forces are now in a state of severe economic crisis, and the country has been forced to",True,1
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: निकोपोलिस का युद्ध, टुटोबर्ग वन का युद्ध, दूसरा बोअर युद्ध, मोहाक का युद्ध, बद्र का युद्ध","टुटोबर्ग वन का युद्ध, बद्र का युद्ध, निकोपोलिस का युद्ध, मोहाक का युद्ध, दूसरा बोअर युद्ध","यदि आप इस प्रश्न के उत्तर का विश्लेषण करते हैं तो यह एक ऐसे प्रश्न का जवाब है, जो केवल कालानुक्रमिक क्रम में ही संभव है।","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: निकोपोलिस का युद्ध, टुटोबर्ग वन का युद्ध, दूसरा बोअर युद्ध, मोहाक का युद्ध, बद्र का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    उत्तर:
    1. निकोपोलिस का युद्ध 2. टुटोबर्ग वन का युद्ध 3. दूसरा बोअर युद्ध 4. मोहाक का युद्ध 5. बद्र का युद्ध
7. 1. निकोपोलिस का युद्ध 2. टुटोबर्ग वन का युद्ध 3. दूसरा बोअर युद्ध 4. मोहाक का युद्ध 5. बद्र का युद्ध
9. 1. निकोपोलिस का युद्ध 2. टुटोबर्ग वन का युद्ध 3. दूसरा",True,0
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुलिकोवो का युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध","क्रेसी का युद्ध, कुलिकोवो का युद्ध, प्रथम अफीम युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध","1. इस प्रकार के प्रश्नों को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, क्रेसी का युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: कुलिकोवो का युद्ध, सोवियत-अफगान युद्ध, फ़ॉकलैंड युद्ध, प्रथम अफीम युद्ध, क्रेसी का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
  @param context
    
    
    
  @return 1 (0 == false)
    
    
  @throws Exception if a valid context is not provided.

  @exception OutOfMemoryException if the number of records in the context is less than what is allowed by the context class.
  
  @exception IllegalStateException if the context class does not support the method getContext().
  
  @exception IOException if an error occurs while reading the context from the file.
  
  @param context
    
    
  @return 0 (true == true)
    
    
 ",True,1
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), दूसरा बाल्कन युद्ध, यूक्रेन पर रूसी आक्रमण, ईरान-इराक युद्ध, सौ साल का युद्ध","सौ साल का युद्ध, दूसरा बाल्कन युद्ध, ईरान-इराक युद्ध, यूक्रेन पर रूसी आक्रमण, गाजा युद्ध (2023–)","1. उत्तर प्रदेश में हुए दंगों से जुड़े तथाकथित धार्मिक भावनाओं के खिलाफ होने वाली हिंसा का उल्लेख करते हुए क्या कहा है?
उत्तर: 2. उत्तर प्रदेश में हुए दंगों से जुड़े","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), दूसरा बाल्कन युद्ध, यूक्रेन पर रूसी आक्रमण, ईरान-इराक युद्ध, सौ साल का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    A.g.c. 2.g.c. 4.g.c. 5.g.c. 6.g.c. 7.g.c. 8.g.c. 9.g.c. 10.g.c. 11.g.c. 12.g.c. 13.g.c. 14.g.c. 15.g.c. 16.g.c. 17.g.c. 18.g",True,0
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, ज़ामा का युद्ध, लिटिल बिघोर्न का युद्ध, प्रथम अफीम युद्ध","ज़ामा का युद्ध, प्रथम अफीम युद्ध, लिटिल बिघोर्न का युद्ध, सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध","1. रूस की अर्थव्यवस्था पर विश्वास नहीं किया जा सकता, क्योंकि वह एक स्वतंत्र राष्ट्र है। 2. रूस के एक प्रमुख वित्तीय संस्थान का गठन करना आवश्यक है, जिसमें रूस के मुद्रा और वित्तीय साध","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: सोवियत-अफगान युद्ध, दूसरा नागोर्नो-काराबाख युद्ध, ज़ामा का युद्ध, लिटिल बिघोर्न का युद्ध, प्रथम अफीम युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    1. स्पष्ट करें कि प्रथम अफीम युद्ध (1) का इतिहास किस प्रकार से लिखा गया है? 2. स्पष्ट करें कि प्रथम अफीम युद्ध (1) का इतिहास किस प्रकार से लिखा गया है? 3. स्पष्ट करें कि प्रथम अफीम युद्ध (1) का इतिहास किस प्रकार से लिखा गया है? 4. स्पष्ट करें कि प्रथम अफीम युद्ध (1) का इतिहास किस प्रकार से लिखा गया है? 5. स्पष्ट करें कि प्रथम अफीम युद्ध (1) का इतिहास किस",True,0
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: हेस्टिंग्स का युद्ध, खाई का युद्ध, प्रथम इंडोचीन युद्ध, मॉस्को का युद्ध, ईरान-इराक युद्ध","खाई का युद्ध, हेस्टिंग्स का युद्ध, मॉस्को का युद्ध, प्रथम इंडोचीन युद्ध, ईरान-इराक युद्ध",पहले इंडोचीन युद्ध का इतिहास (18वीं शताब्दी) तथा दूसरी युद्ध (19वीं शताब्दी) के बीच ही हुआ था। दूसरी युद्ध की तुलना में पहले इंडोचीन युद्ध की तुलना में यह,"
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: हेस्टिंग्स का युद्ध, खाई का युद्ध, प्रथम इंडोचीन युद्ध, मॉस्को का युद्ध, ईरान-इराक युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    1. HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: HISTORY: H",True,1
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), पोलिश-सोवियत युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, प्रशांत का युद्ध","प्रशांत का युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, पोलिश-सोवियत युद्ध, गाजा युद्ध (2023–)","उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर। उत्तर, उत्तर, उत्तर, उत्तर।","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: गाजा युद्ध (2023–), पोलिश-सोवियत युद्ध, स्पेनिश-अमेरिकी युद्ध, प्रथम बाल्कन युद्ध, प्रशांत का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
• क्या आपने भारत के स्वतंत्रता आंदोलन के दौरान भारत के लिए योगदान दिया?",True,1
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध","मैराथन का युद्ध, दूसरा पुनिक युद्ध, कारहे का युद्ध, ऑस्ट्रियाई उत्तराधिकार का युद्ध, ब्लैक जनवरी","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: मैराथन का युद्ध, ब्लैक जनवरी, ऑस्ट्रियाई उत्तराधिकार का युद्ध, कारहे का युद्ध, दूसरा पुनिक युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    1. मैराथन का युद्ध: इस घटना का समय है 1914. मैराथन का युद्ध युद्ध के लिए एक रणनीति है, जब सभी पक्ष भाग लेते हैं और सैन्य बलों की आवश्यकता होती है. एक सेना के रूप में, आप एक सैन्य टुकड़ी में शामिल हो सकते हैं, जबकि एक सेना के रूप में, आप एक छोटी टुकड़ी में शामिल हो सकते हैं। इस घटना का समय है 1914.

    
    
    2. ऑस्ट्रियाई उत्तराधिकार का युद्ध: इस घटना",True,1
"निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैराथन का युद्ध","मैराथन का युद्ध, बद्र का युद्ध, सौ साल का युद्ध, ऑस्टरलिट्ज़ का युद्ध, प्रथम चीन-जापानी युद्ध","निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैर","
    संदर्भ (Context):
    
    
    प्रश्न:
    निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें: प्रथम चीन-जापानी युद्ध, बद्र का युद्ध, ऑस्टरलिट्ज़ का युद्ध, सौ साल का युद्ध, मैराथन का युद्ध
    
    उपरोक्त संदर्भ के आधार पर सही उत्तर दें।
    
    
    Example 3.1.2.1.1.4.1.6.1.7.1.8.1.9.1.10.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.",True,0
